Experiment,Experiment Name,Condition,Run,Seed,Factor 1,Factor 1 Level,Factor 2,Factor 2 Level,Ticks,Completed Tasks,Failed Tasks,Completion Rate (%),Discovered Completion (%),Explored Area (%),Individual Tasks,Cooperative Tasks,Completed Cooperative Tasks,Total Bids,Unresolved Auction Rounds,Contracts Awarded,Contract Releases,Coalition Attempts,Coalitions Formed,Coalition Success (%),Coalition Formation Efficiency (%),Mean Coalition Delay,Task Value,Rewards Distributed,Mission Bonuses,Reward Gini,Contract Gini,Top 20% Reward Share (%),Information Coverage (%),Mean Reputation,Strategy Switches,Coordination Overhead,Mission Efficiency,Energy Used,Energy Remaining,Failed — Undiscovered,Failed — Auction/No Feasible,Failed — Deadline After Assignment,Failed — Other,Task State Pass,Energy Error,Reward Error,Reputation Bounds Pass,Strategy Validity Pass
BS01,Baseline Replication,Baseline,1,1,,,,,184,29,1,96.66666666666667,96.66666666666667,47.82775855440215,19,11,11,437,180,31,2,193,13,84.61538461538461,6.7357512953367875,32.09090909090909,3486.9846847541526,3486.9846847541526,0,0.1918041592610249,0.15802469135802477,31.060903255944606,97.33333333333333,0.5068936710823737,39,38.310344827586206,2.344581085056804,448.25275785020267,1743.1313005615657,0,1,0,0,True,1.3642420526593924e-12,4.547473508864641e-13,True,True
BS01,Baseline Replication,Baseline,2,2,,,,,279,29,1,96.66666666666667,100.0,64.78277585544022,16,14,13,1086,254,33,4,271,17,76.47058823529412,6.273062730627307,37.46153846153846,3666.2559839416103,3666.2559839416103,0,0.16999843803734738,0.15268817204301066,27.968219719044807,96.66666666666667,0.5023063808919619,43,62.172413793103445,1.5163894873296886,655.7534957709087,1668.6857792386324,1,0,0,0,True,1.8189894035458565e-12,4.547473508864641e-13,True,True
BS01,Baseline Replication,Baseline,3,3,,,,,195,29,1,96.66666666666667,96.66666666666667,48.67358708189158,21,9,8,1173,320,32,3,331,11,72.72727272727273,3.323262839879154,55.625,3243.371439637589,3243.371439637589,0,0.27502908526373315,0.2962962962962963,33.660561417234376,97.11111111111111,0.5042978545820286,42,66.65517241379311,1.3787852264205465,443.3398550314323,1793.2242845167546,0,1,0,0,True,6.821210263296962e-13,9.094947017729282e-13,True,True
BS01,Baseline Replication,Baseline,4,4,,,,,303,25,5,83.33333333333333,83.33333333333333,69.66551326412917,14,16,11,2977,610,26,1,622,12,91.66666666666667,1.9292604501607717,30.454545454545453,3303.4007101732177,3303.4007101732177,0,0.39945183711335,0.3159420289855073,44.584080260815306,98.88888888888889,0.5041128525086642,74,161.28,0.6991718817107189,712.733354680293,1493.873185691364,0,5,0,0,True,9.094947017729282e-13,1.3642420526593924e-12,True,True
BS01,Baseline Replication,Baseline,5,5,,,,,262,27,3,90.0,90.0,58.400615148019995,16,14,12,583,283,36,9,304,21,57.142857142857146,6.907894736842105,53.0,3400.0335066576504,3400.0335066576504,0,0.2425384459826634,0.1541125541125541,31.52999994521195,99.11111111111111,0.4977850139182834,44,49.666666666666664,1.7821045652196346,597.8754260632371,1670.3652134999074,0,2,0,1,True,2.2737367544323206e-13,9.094947017729282e-13,True,True
BS01,Baseline Replication,Baseline,6,6,,,,,247,28,2,93.33333333333333,96.55172413793103,61.51480199923107,20,10,8,1275,204,29,1,213,9,88.88888888888889,4.225352112676056,25.25,3187.3243015751677,3187.3243015751677,0,0.4290271839916333,0.3659574468085107,45.379263460632586,96.66666666666667,0.5059099266553126,60,68.14285714285714,1.270588277132907,615.5421917848884,1555.1867026295947,1,1,0,0,True,1.1368683772161603e-12,4.547473508864641e-13,True,True
BS01,Baseline Replication,Baseline,7,7,,,,,195,30,0,100.0,100.0,54.248366013071895,20,10,10,447,180,30,0,190,10,100.0,5.2631578947368425,18.5,3526.3109936647124,3526.3109936647124,0,0.3518560336233172,0.24397163120567367,41.02781909013093,94.88888888888889,0.5087657808108123,34,35.166666666666664,2.34842774502504,468.5624820201199,1795.9518715106246,0,0,0,0,True,6.821210263296962e-13,0.0,True,True
BS01,Baseline Replication,Baseline,8,8,,,,,254,29,1,96.66666666666667,100.0,60.053825451749326,16,14,14,1498,569,33,4,587,18,77.77777777777777,3.0664395229982966,52.214285714285715,3520.9128596710057,3520.9128596710057,0,0.3439358007590736,0.318840579710145,40.44367510270896,95.33333333333333,0.5040058552277561,48,87.24137931034483,1.1397864166238125,607.0988068627653,1665.376853193872,1,0,0,0,True,0.0,0.0,True,True
BS01,Baseline Replication,Baseline,9,9,,,,,220,29,1,96.66666666666667,100.0,52.24913494809689,16,14,13,392,184,31,2,199,15,86.66666666666667,7.5376884422110555,32.76923076923077,3494.7832458140083,3494.7832458140083,0,0.2810702168864847,0.20606060606060606,33.703963384310626,94.88888888888889,0.5058681486195747,46,35.6551724137931,2.2947715427457758,535.9329720693571,1671.1095543159015,1,0,0,0,True,2.2737367544323206e-13,4.547473508864641e-13,True,True
BS01,Baseline Replication,Baseline,10,10,,,,,306,29,1,96.66666666666667,100.0,69.78085351787774,20,10,10,311,184,30,1,195,11,90.9090909090909,5.641025641025641,31.4,3591.6360409131416,3591.6360409131416,0,0.1741911778952765,0.18974358974358974,31.35758513386926,96.66666666666667,0.5044125808080315,47,32.96551724137931,2.2111696018475913,713.3150402900218,1550.5429483932517,1,0,0,0,True,4.547473508864641e-13,4.547473508864641e-13,True,True
BS01,Baseline Replication,Baseline,11,11,,,,,309,26,4,86.66666666666667,89.65517241379311,67.20492118415994,12,18,14,2224,622,34,8,644,22,63.63636363636363,3.4161490683229814,66.73333333333333,3527.261302056697,3527.261302056697,0,0.3079675084397544,0.34774774774774775,38.16169691699692,96.66666666666667,0.4994140014664433,60,128.3846153846154,0.8842295585795397,710.0787045425454,1577.45690390874,1,2,0,1,True,4.547473508864641e-13,0.0,True,True
BS01,Baseline Replication,Baseline,12,12,,,,,315,28,2,93.33333333333333,100.0,68.35832372164552,16,14,14,2231,490,36,8,512,22,63.63636363636363,4.296875,78.57142857142857,3554.7453298682053,3554.7453298682053,0,0.3110167654190248,0.3111111111111111,33.87635110473937,93.33333333333333,0.49924550018621244,75,113.10714285714286,0.9204487874866869,720.9697023824046,1506.671668032192,2,0,0,0,True,1.1368683772161603e-12,0.0,True,True
BS01,Baseline Replication,Baseline,13,13,,,,,289,27,3,90.0,93.10344827586206,64.39830834294501,16,14,11,1301,322,28,1,334,12,91.66666666666667,3.592814371257485,35.18181818181818,3324.195520877958,3324.195520877958,0,0.34880687404170496,0.32266666666666666,38.55855527433409,93.55555555555556,0.5060284357370288,59,76.0,1.220478863982691,698.6813508022396,1551.4588094317808,1,2,0,0,True,2.2737367544323206e-13,0.0,True,True
BS01,Baseline Replication,Baseline,14,14,,,,,216,30,0,100.0,100.0,56.47827758554402,19,11,11,549,198,31,1,210,12,91.66666666666667,5.714285714285714,22.818181818181817,3612.5019936476406,3612.5019936476406,0,0.32836086603805703,0.37232704402515715,36.522267056926594,96.66666666666667,0.5084720449309155,37,39.86666666666667,2.129480807425855,534.4238330067324,1796.2794963770382,0,0,0,0,True,4.547473508864641e-13,4.547473508864641e-13,True,True
BS01,Baseline Replication,Baseline,15,15,,,,,340,20,10,66.66666666666667,68.96551724137932,73.81776239907728,11,19,9,3324,707,24,4,720,13,69.23076923076923,1.8055555555555556,46.63636363636363,2464.150208555705,2464.150208555705,0,0.30578047665546904,0.25034013605442174,32.054107115167625,96.66666666666667,0.5000095856151267,95,224.8,0.4683432273451072,813.4195416558277,1439.8052829560793,1,7,0,2,True,0.0,4.547473508864641e-13,True,True
BS01,Baseline Replication,Baseline,16,16,,,,,263,29,1,96.66666666666667,100.0,60.5920799692426,14,16,15,564,280,36,7,302,22,68.18181818181819,7.28476821192053,47.6,3688.2317668225555,3688.2317668225555,0,0.27514630318969147,0.1777777777777778,36.827242577008356,95.33333333333333,0.5028373194493628,35,45.13793103448276,1.9590077067866538,610.7040618805606,1714.6673373990898,1,0,0,0,True,0.0,4.547473508864641e-13,True,True
BS01,Baseline Replication,Baseline,17,17,,,,,222,29,1,96.66666666666667,100.0,52.979623221837755,19,11,11,1114,324,32,3,338,14,78.57142857142857,4.1420118343195265,46.72727272727273,3676.4478095285504,3676.4478095285504,0,0.44688598068187724,0.4067796610169492,44.31710652578986,92.66666666666667,0.506225019592036,61,64.48275862068965,1.5602847040376295,515.2672889215769,1759.9907155007677,1,0,0,0,True,1.1368683772161603e-12,0.0,True,True
