Run,Seed,Reward Regime,Ticks,Completed Tasks,Failed Tasks,Completion Rate (%),Discovered Completion (%),Explored Area (%),Individual Tasks,Cooperative Tasks,Completed Cooperative Tasks,Total Bids,Contested Auction Rounds,Unresolved Auction Rounds,Contracts Awarded,Contract Memberships,Contract Releases,Coalition Attempts,Coalitions Formed,Coalition Tasks Completed,Coalition Success (%),Coalition Formation Efficiency (%),Mean Coalition Size,Mean Coalition Delay,Task Value,Rewards Distributed,Mission Bonuses,Reward Gini,Contract Gini,Top 20% Reward Share (%),Current Links,Mean Network Degree,Network Density,Isolated Robots,Information Transmissions,Unique Information Acquisitions,Information Coverage (%),Information Redundancy,Mean Reputation,Competitive Robots,Cooperative Robots,Balanced Robots,Strategy Switches,Coordination Overhead,Mission Efficiency,Energy Used,Energy Remaining,Failed — Undiscovered,Failed — Auction/No Feasible,Failed — Deadline After Assignment,Failed — Other,Task State Pass,Energy Error,Reward Error,Reputation Bounds Pass,Strategy Validity Pass
1,1,leader-priority,194,30,0,100,100,53.133410226835835,19,11,11,455,32,220,32,56,2,233,13,11,84.61538461538461,5.579399141630901,2.8181818181818183,26.818181818181817,3583.871441816006,3583.871441816006,0,0.3557531557427793,0.1880952380952381,40.17687138361949,7,0.9333333333333333,0.06666666666666667,5,425,400,95.77777777777777,0.058823529411764705,0.5077342779725668,3,5,7,28,37.166666666666664,2.2964939009618197,470.58391459912235,1720.8001438126455,0,0,0,0,True,2.2737367544323206e-13,0,True,True
2,1,equal-share,184,29,1,96.66666666666667,96.66666666666667,47.82775855440215,19,11,11,437,39,180,31,54,2,193,13,11,84.61538461538461,6.7357512953367875,2.727272727272727,32.09090909090909,3486.9846847541526,3486.9846847541526,0,0.1918041592610249,0.15802469135802477,31.060903255944606,13,1.7333333333333334,0.12380952380952381,0,479,407,97.33333333333333,0.15031315240083507,0.5068936710823737,5,6,4,39,38.310344827586206,2.344581085056804,448.25275785020267,1743.1313005615657,0,1,0,0,True,1.3642420526593924e-12,4.547473508864641e-13,True,True
3,1,contribution-based,243,29,1,96.66666666666667,96.66666666666667,62.39907727797001,19,11,10,301,20,128,29,46,0,138,10,10,100,7.246376811594203,2.7,9.5,3446.5166204482484,3446.5166204482484,0,0.27083401697468634,0.24057971014492763,38.42560193284107,3,0.4,0.02857142857142857,9,448,415,99.33333333333333,0.07366071428571429,0.5073756800224551,6,3,6,39,30.586206896551722,2.3695602530713167,600.4962998856136,1590.8877585261555,0,1,0,0,True,1.8189894035458565e-12,4.547473508864641e-13,True,True
4,1,mission-aligned,182,29,1,96.66666666666667,100,47.558631295655516,19,11,11,463,46,185,31,55,2,198,13,11,84.61538461538461,6.565656565656566,2.8181818181818183,32.54545454545455,3486.9846847541526,4358.730855942691,871.7461711885381,0.2203021934762599,0.19393939393939386,33.17373227285963,12,1.6,0.11428571428571428,1,477,405,96.66666666666667,0.1509433962264151,0.5073237930580566,4,7,4,30,39.310344827586206,2.31151702117465,440.52650134592665,1750.8575570658415,1,0,0,0,True,1.3642420526593924e-12,0,True,True
5,2,leader-priority,219,28,2,93.33333333333333,93.33333333333333,55.36332179930796,16,14,12,544,31,307,30,51,2,320,13,12,92.3076923076923,4.0625,2.5833333333333335,29.083333333333332,3522.8938407211363,3522.8938407211363,0,0.27772801100478506,0.196078431372549,37.56746168813513,8,1.0666666666666667,0.0761904761904762,3,385,371,89.55555555555556,0.03636363636363636,0.5067378846002912,2,7,6,39,44.67857142857143,2.00894943010679,516.6000597754564,1807.8392152340848,0,2,0,0,True,1.3642420526593924e-12,4.547473508864641e-13,True,True
6,2,equal-share,279,29,1,96.66666666666667,100,64.78277585544022,16,14,13,1086,75,254,33,62,4,271,17,13,76.47058823529412,6.273062730627307,2.6153846153846154,37.46153846153846,3666.2559839416103,3666.2559839416103,0,0.16999843803734738,0.15268817204301066,27.968219719044807,11,1.4666666666666666,0.10476190476190476,6,442,401,96.66666666666667,0.09276018099547512,0.5023063808919619,3,7,5,43,62.172413793103445,1.5163894873296886,655.7534957709087,1668.6857792386324,1,0,0,0,True,1.8189894035458565e-12,4.547473508864641e-13,True,True
7,2,contribution-based,226,30,0,100,100,57.24721261053441,16,14,14,413,42,166,32,60,2,182,16,14,87.5,8.791208791208792,2.7142857142857144,18.214285714285715,3815.4808978930787,3815.4808978930787,0,0.245351787173945,0.2155555555555555,32.94595081943184,9,1.2,0.08571428571428572,5,416,397,95.55555555555556,0.04567307692307692,0.5074219640561555,2,6,7,52,33.766666666666666,2.5032022855163762,530.2399385657309,1794.1993364438101,0,0,0,0,True,1.5916157281026244e-12,4.547473508864641e-13,True,True
8,2,mission-aligned,279,29,1,96.66666666666667,100,64.78277585544022,16,14,13,1086,75,254,33,62,4,271,17,13,76.47058823529412,6.273062730627307,2.6153846153846154,37.46153846153846,3666.2559839416103,4582.819979927014,916.5639959854026,0.16999843803734715,0.15268817204301066,27.9682197190448,11,1.4666666666666666,0.10476190476190476,6,442,401,96.66666666666667,0.09276018099547512,0.5023063808919619,4,6,5,42,62.172413793103445,1.5163894873296886,655.7534957709087,1668.6857792386324,1,0,0,0,True,1.8189894035458565e-12,9.094947017729282e-13,True,True
9,3,leader-priority,268,29,1,96.66666666666667,96.66666666666667,61.476355247981544,21,9,8,1973,198,472,32,52,3,482,10,8,80,2.074688796680498,3,47.375,3253.853389025939,3253.853389025939,0,0.27419453533328775,0.2897435897435898,31.801501690248465,13,1.7333333333333334,0.12380952380952381,5,438,417,99.55555555555556,0.04794520547945205,0.5044526393373185,7,5,3,57,99.86206896551724,0.9318672788753137,616.7562433923742,1619.8078961558122,0,1,0,0,True,4.547473508864641e-13,4.547473508864641e-13,True,True
10,3,equal-share,195,29,1,96.66666666666667,96.66666666666667,48.67358708189158,21,9,8,1173,147,320,32,54,3,331,11,8,72.72727272727273,3.323262839879154,3,55.625,3243.371439637589,3243.371439637589,0,0.27502908526373315,0.2962962962962963,33.660561417234376,8,1.0666666666666667,0.0761904761904762,7,426,402,97.11111111111111,0.056338028169014086,0.5042978545820286,6,5,4,42,66.65517241379311,1.3787852264205465,443.3398550314323,1793.2242845167546,0,1,0,0,True,6.821210263296962e-13,9.094947017729282e-13,True,True
