Run,Seed,Mission Incentive Weight,Reward Regime,Ticks,Completed Tasks,Failed Tasks,Completion Rate (%),Discovered Completion (%),Explored Area (%),Individual Tasks,Cooperative Tasks,Completed Cooperative Tasks,Total Bids,Contested Auction Rounds,Unresolved Auction Rounds,Contracts Awarded,Contract Memberships,Contract Releases,Coalition Attempts,Coalitions Formed,Coalition Tasks Completed,Coalition Success (%),Coalition Formation Efficiency (%),Mean Coalition Size,Mean Coalition Delay,Task Value,Rewards Distributed,Mission Bonuses,Reward Gini,Contract Gini,Top 20% Reward Share (%),Current Links,Mean Network Degree,Network Density,Isolated Robots,Information Transmissions,Unique Information Acquisitions,Information Coverage (%),Information Redundancy,Mean Reputation,Competitive Robots,Cooperative Robots,Balanced Robots,Strategy Switches,Coordination Overhead,Mission Efficiency,Energy Used,Energy Remaining,Failed — Undiscovered,Failed — Auction/No Feasible,Failed — Deadline After Assignment,Failed — Other,Task State Pass,Energy Error,Reward Error,Reputation Bounds Pass,Strategy Validity Pass
1,1,0,mission-aligned,184,29,1,96.66666666666667,96.66666666666667,47.82775855440215,19,11,11,437,39,180,31,54,2,193,13,11,84.61538461538461,6.7357512953367875,2.727272727272727,32.09090909090909,3486.9846847541526,3486.9846847541526,0,0.1918041592610249,0.15802469135802477,31.060903255944606,13,1.7333333333333334,0.12380952380952381,0,479,407,97.33333333333333,0.15031315240083507,0.5068936710823737,5,6,4,39,38.310344827586206,2.344581085056804,448.25275785020267,1743.1313005615657,0,1,0,0,True,1.3642420526593924e-12,4.547473508864641e-13,True,True
2,1,0.1,mission-aligned,182,29,1,96.66666666666667,100,47.558631295655516,19,11,11,463,46,185,31,55,2,198,13,11,84.61538461538461,6.565656565656566,2.8181818181818183,32.54545454545455,3486.9846847541526,3835.6831532295687,348.69846847541544,0.2203021934762599,0.19393939393939386,33.17373227285963,12,1.6,0.11428571428571428,1,477,405,96.66666666666667,0.1509433962264151,0.5073237930580566,4,7,4,30,39.310344827586206,2.31151702117465,440.52650134592665,1750.8575570658415,1,0,0,0,True,1.3642420526593924e-12,9.094947017729282e-13,True,True
3,1,0.25,mission-aligned,182,29,1,96.66666666666667,100,47.558631295655516,19,11,11,463,46,185,31,55,2,198,13,11,84.61538461538461,6.565656565656566,2.8181818181818183,32.54545454545455,3486.9846847541526,4358.730855942691,871.7461711885381,0.2203021934762599,0.19393939393939386,33.17373227285963,12,1.6,0.11428571428571428,1,477,405,96.66666666666667,0.1509433962264151,0.5073237930580566,4,7,4,30,39.310344827586206,2.31151702117465,440.52650134592665,1750.8575570658415,1,0,0,0,True,1.3642420526593924e-12,0,True,True
4,1,0.5,mission-aligned,182,29,1,96.66666666666667,100,47.558631295655516,19,11,11,463,46,185,31,55,2,198,13,11,84.61538461538461,6.565656565656566,2.8181818181818183,32.54545454545455,3486.9846847541526,5230.477027131228,1743.4923423770763,0.22030219347626012,0.19393939393939386,33.17373227285963,12,1.6,0.11428571428571428,1,477,405,96.66666666666667,0.1509433962264151,0.5073237930580566,4,7,4,30,39.310344827586206,2.31151702117465,440.52650134592665,1750.8575570658415,1,0,0,0,True,1.3642420526593924e-12,9.094947017729282e-13,True,True
5,2,0,mission-aligned,279,29,1,96.66666666666667,100,64.78277585544022,16,14,13,1086,75,254,33,62,4,271,17,13,76.47058823529412,6.273062730627307,2.6153846153846154,37.46153846153846,3666.2559839416103,3666.2559839416103,0,0.16999843803734738,0.15268817204301066,27.968219719044807,11,1.4666666666666666,0.10476190476190476,6,442,401,96.66666666666667,0.09276018099547512,0.5023063808919619,3,7,5,43,62.172413793103445,1.5163894873296886,655.7534957709087,1668.6857792386324,1,0,0,0,True,1.8189894035458565e-12,4.547473508864641e-13,True,True
6,2,0.1,mission-aligned,279,29,1,96.66666666666667,100,64.78277585544022,16,14,13,1086,75,254,33,62,4,271,17,13,76.47058823529412,6.273062730627307,2.6153846153846154,37.46153846153846,3666.2559839416103,4032.881582335772,366.6255983941613,0.1699984380373467,0.15268817204301066,27.968219719044804,11,1.4666666666666666,0.10476190476190476,6,442,401,96.66666666666667,0.09276018099547512,0.5023063808919619,3,7,5,43,62.172413793103445,1.5163894873296886,655.7534957709087,1668.6857792386324,1,0,0,0,True,1.8189894035458565e-12,4.547473508864641e-13,True,True
7,2,0.25,mission-aligned,279,29,1,96.66666666666667,100,64.78277585544022,16,14,13,1086,75,254,33,62,4,271,17,13,76.47058823529412,6.273062730627307,2.6153846153846154,37.46153846153846,3666.2559839416103,4582.819979927014,916.5639959854026,0.16999843803734715,0.15268817204301066,27.9682197190448,11,1.4666666666666666,0.10476190476190476,6,442,401,96.66666666666667,0.09276018099547512,0.5023063808919619,4,6,5,42,62.172413793103445,1.5163894873296886,655.7534957709087,1668.6857792386324,1,0,0,0,True,1.8189894035458565e-12,9.094947017729282e-13,True,True
8,2,0.5,mission-aligned,287,29,1,96.66666666666667,96.66666666666667,66.28219915417148,16,14,13,1595,121,321,33,62,4,338,17,13,76.47058823529412,5.029585798816568,2.6153846153846154,38.84615384615385,3666.2559839416103,5499.383975912416,1833.1279919708052,0.17700269629676924,0.22150537634408596,28.553968666676344,9,1.2,0.08571428571428572,2,465,416,100,0.1053763440860215,0.5016440570610172,3,7,5,42,82.82758620689656,1.211000459125071,674.4604409237169,1649.9788340858245,0,1,0,0,True,1.5916157281026244e-12,9.094947017729282e-13,True,True
9,3,0,mission-aligned,195,29,1,96.66666666666667,96.66666666666667,48.67358708189158,21,9,8,1173,147,320,32,54,3,331,11,8,72.72727272727273,3.323262839879154,3,55.625,3243.371439637589,3243.371439637589,0,0.27502908526373315,0.2962962962962963,33.660561417234376,8,1.0666666666666667,0.0761904761904762,7,426,402,97.11111111111111,0.056338028169014086,0.5042978545820286,6,5,4,42,66.65517241379311,1.3787852264205465,443.3398550314323,1793.2242845167546,0,1,0,0,True,6.821210263296962e-13,9.094947017729282e-13,True,True
10,3,0.1,mission-aligned,186,28,2,93.33333333333333,96.55172413793103,45.79008073817762,21,9,8,973,105,296,30,50,2,306,10,8,80,3.2679738562091503,3,46.375,3158.352393391533,3474.1876327306873,315.83523933915353,0.27672695029932615,0.272,30.91562445733709,10,1.3333333333333333,0.09523809523809523,5,417,401,96.44444444444444,0.03836930455635491,0.5056842855010429,7,4,4,35,60.642857142857146,1.5064751143233863,414.51813253487813,1822.0460070133088,1,1,0,0,True,6.821210263296962e-13,4.547473508864641e-13,True,True
