"BehaviorSpace results (NetLogo 7.0.4)","Spreadsheet version 2.0"
"MOSAIC_v0_3_integrated_final_Subm_ready.nlogo.nlogox"
"BS01_Baseline_Replication_30_Seeds"
"07/20/2026 19:48:48:647 +1000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","1","1","2","2","3","3","4","4","5","5","6","6","7","7","8","8","9","9","10","10","11","11","12","12","13","13","14","14","15","15","16","16","17","17","18","18","19","19","20","20","21","21","22","22","23","23","24","24","25","25","26","26","27","27","28","28","29","29","30","30"
"random-seed-value","1",,"2",,"3",,"4",,"5",,"6",,"7",,"8",,"9",,"10",,"11",,"12",,"13",,"14",,"15",,"16",,"17",,"18",,"19",,"20",,"21",,"22",,"23",,"24",,"25",,"26",,"27",,"28",,"29",,"30",
"terrain-heterogeneity","0.5",,"0.5",,"0.5",,"0.5",,"0.5",,"0.5",,"0.5",,"0.5",,"0.5",,"0.5",,"0.5",,"0.5",,"0.5",,"0.5",,"0.5",,"0.5",,"0.5",,"0.5",,"0.5",,"0.5",,"0.5",,"0.5",,"0.5",,"0.5",,"0.5",,"0.5",,"0.5",,"0.5",,"0.5",,"0.5",
"hazard-intensity","0.5",,"0.5",,"0.5",,"0.5",,"0.5",,"0.5",,"0.5",,"0.5",,"0.5",,"0.5",,"0.5",,"0.5",,"0.5",,"0.5",,"0.5",,"0.5",,"0.5",,"0.5",,"0.5",,"0.5",,"0.5",,"0.5",,"0.5",,"0.5",,"0.5",,"0.5",,"0.5",,"0.5",,"0.5",,"0.5",
"number-of-robots","15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",
"robot-initial-energy","150",,"150",,"150",,"150",,"150",,"150",,"150",,"150",,"150",,"150",,"150",,"150",,"150",,"150",,"150",,"150",,"150",,"150",,"150",,"150",,"150",,"150",,"150",,"150",,"150",,"150",,"150",,"150",,"150",,"150",
"capability-heterogeneity","0.5",,"0.5",,"0.5",,"0.5",,"0.5",,"0.5",,"0.5",,"0.5",,"0.5",,"0.5",,"0.5",,"0.5",,"0.5",,"0.5",,"0.5",,"0.5",,"0.5",,"0.5",,"0.5",,"0.5",,"0.5",,"0.5",,"0.5",,"0.5",,"0.5",,"0.5",,"0.5",,"0.5",,"0.5",,"0.5",
"energy-heterogeneity","0.3",,"0.3",,"0.3",,"0.3",,"0.3",,"0.3",,"0.3",,"0.3",,"0.3",,"0.3",,"0.3",,"0.3",,"0.3",,"0.3",,"0.3",,"0.3",,"0.3",,"0.3",,"0.3",,"0.3",,"0.3",,"0.3",,"0.3",,"0.3",,"0.3",,"0.3",,"0.3",,"0.3",,"0.3",,"0.3",
"mission-time-limit","500",,"500",,"500",,"500",,"500",,"500",,"500",,"500",,"500",,"500",,"500",,"500",,"500",,"500",,"500",,"500",,"500",,"500",,"500",,"500",,"500",,"500",,"500",,"500",,"500",,"500",,"500",,"500",,"500",,"500",
"movement-cost-rate","0.1",,"0.1",,"0.1",,"0.1",,"0.1",,"0.1",,"0.1",,"0.1",,"0.1",,"0.1",,"0.1",,"0.1",,"0.1",,"0.1",,"0.1",,"0.1",,"0.1",,"0.1",,"0.1",,"0.1",,"0.1",,"0.1",,"0.1",,"0.1",,"0.1",,"0.1",,"0.1",,"0.1",,"0.1",,"0.1",
