Metric,N,Mean,Median,Std. Dev.,Minimum,Maximum
Ticks,30,259.8,262.5,38.857298608786664,184.0,340.0
Completed Tasks,30,27.666666666666668,28.0,2.0398332138265336,20.0,30.0
Failed Tasks,30,2.3333333333333335,2.0,2.0398332138265336,0.0,10.0
Completion Rate (%),30,92.22222222222221,93.33333333333333,6.799444046088445,66.66666666666667,100.0
Discovered Completion (%),30,95.21699203308398,96.66666666666667,6.747930481945233,68.96551724137932,100.0
Explored Area (%),30,60.91246956298859,61.18800461361015,6.511025486820499,47.82775855440215,73.81776239907728
Coalition Success (%),30,78.24042563903245,78.17460317460316,12.171847381611851,57.142857142857146,100.0
Coalition Formation Efficiency (%),30,4.792191885788862,4.687715851356122,1.8111237271821596,1.8055555555555556,7.614213197969543
Mean Coalition Delay,30,42.67994306619307,39.88076923076923,16.24700516031989,18.5,78.57142857142857
Coordination Overhead,30,75.39604383441164,63.32758620689655,44.10530300766571,32.96551724137931,224.8
Mission Efficiency,30,1.481805544403395,1.538337095683659,0.5414471785413636,0.4683432273451072,2.34842774502504
Reward Gini,30,0.29571217385095583,0.28934992928151315,0.07079541978191442,0.1644645564886309,0.44688598068187724
Contract Gini,30,0.25892189499618523,0.25850340136054417,0.07018268150160017,0.15268817204301066,0.4067796610169492
Information Coverage (%),30,95.15555555555555,96.11111111111111,3.343993172288683,85.55555555555556,100.0
