Metric,leader-priority Mean,leader-priority SD,equal-share Mean,equal-share SD,contribution-based Mean,contribution-based SD,mission-aligned Mean,mission-aligned SD
Completion Rate (%),92.11111111111111,6.520426691567216,92.22222222222221,6.799444046088445,92.11111111111111,7.244145916797713,91.11111111111111,6.799444046088445
Completed Tasks,27.633333333333333,1.9561280074701644,27.666666666666668,2.0398332138265336,27.633333333333333,2.1732437750393134,27.333333333333332,2.0398332138265336
Failed Tasks,2.3666666666666667,1.9561280074701644,2.3333333333333335,2.0398332138265336,2.3666666666666667,2.1732437750393134,2.6666666666666665,2.0398332138265336
Coalition Success (%),75.69776340790273,11.228886497229151,78.24042563903245,12.171847381611851,80.08770095324478,13.322294051142082,82.00469492381258,12.642727251800764
Coalition Formation Efficiency (%),3.5777318144679233,2.4171241630819207,4.792191885788862,1.8111237271821596,4.3477070479792905,1.943265535983898,4.565632727716022,1.897072310405187
Mean Coalition Delay,52.10262348762349,23.878378475511088,42.67994306619307,16.24700516031989,42.83328421578422,21.967719419005604,42.21473119473119,14.909202198282806
Contract Releases,4.166666666666667,2.4786444200246915,3.5,2.460025231157403,3.3,2.743644693996756,2.8,2.325273435904719
Unresolved Auction Rounds,568.4333333333333,335.52241133156383,338.8,159.58964619427476,366.5,153.0651765616924,336.8333333333333,173.10213913962082
Total Bids,1561.6666666666667,833.7578964453995,1226.1333333333334,821.5470995515773,1372.8333333333333,745.1634897368373,1263.4,891.7251238760317
Coordination Overhead,95.49171801080996,46.70557999122912,75.39604383441164,44.10530300766571,81.52204715163786,37.83387767909748,77.57080152414636,46.977400469673555
Mission Efficiency,1.2276518392288955,0.552871091133653,1.481805544403395,0.5414471785413636,1.3309406657721798,0.4911869464721597,1.4591666670124392,0.5536776855997932
Task Value,3314.658210145054,244.73610875492568,3337.577008396133,266.625247402055,3333.1338478645807,295.08576935302926,3277.40765313198,246.20688954990092
Rewards Distributed,3314.658210145054,244.7361087549257,3337.577008396133,266.625247402055,3333.1338478645807,295.0857693530292,4096.759566414975,307.7586119373763
Mission Bonuses,0.0,0.0,0.0,0.0,0.0,0.0,819.351913282995,61.551722387475216
Reward Gini,0.33890090598214145,0.05747672569191456,0.29571217385095583,0.07079541978191442,0.2893155697888924,0.05521986742190919,0.29950358860041354,0.06422092938677937
Contract Gini,0.2653780465423678,0.04945237222697051,0.25892189499618523,0.07018268150160017,0.2592602172766923,0.059773240187640714,0.2605760324915035,0.06366115687375203
Top 20% Reward Share (%),38.329086454999086,4.225854999474984,36.01243687736197,4.488988684953681,35.70009848357764,3.820173748154019,36.308936983361484,3.909298281618723
Information Coverage (%),95.34814814814814,3.555044663167609,95.15555555555555,3.343993172288683,95.6962962962963,4.153087280290711,94.89629629629628,3.8730309773260028
Mean Reputation,0.5034633885141025,0.00270125094278916,0.5036964462315822,0.0028420297887184606,0.5037814973380461,0.002630612568026483,0.5042515517491668,0.0028483996290287715
Strategy Switches,57.2,14.60845291438228,52.233333333333334,14.866493994152115,55.43333333333333,13.977033707635101,51.03333333333333,15.130429110156502
