Metric,Short range / reliable Mean,Short range / reliable SD,Short range / unreliable Mean,Short range / unreliable SD,Wide range / reliable Mean,Wide range / reliable SD,Wide range / unreliable Mean,Wide range / unreliable SD
Completion Rate (%),89.0,7.065647291473697,88.77777777777779,7.755029678402211,92.22222222222221,6.799444046088445,92.66666666666667,7.499680708401482
Completed Tasks,26.7,2.119694187442109,26.633333333333333,2.326508903520663,27.666666666666668,2.0398332138265336,27.8,2.2499042125204443
Failed Tasks,3.3,2.119694187442109,3.3666666666666667,2.326508903520663,2.3333333333333335,2.0398332138265336,2.2,2.2499042125204443
Discovered Completion (%),90.9135194307608,6.7590300903487215,91.32694763729246,7.539125548728003,95.21699203308398,6.747930481945233,94.73699119101417,6.496716681217735
Information Coverage (%),87.85925925925926,9.2766906162465,88.11111111111111,6.329063560377509,95.15555555555555,3.343993172288683,95.52592592592593,3.9307471781765266
Information Transmissions,378.03333333333336,45.95161123086593,372.46666666666664,31.94902549194666,433.93333333333334,21.484450404778855,427.53333333333336,22.42186945562429
Unique Information Acquisitions,355.4,40.9849425672573,355.8,27.909212420472105,396.1666666666667,14.37210740512218,396.53333333333336,16.564884614715872
Information Redundancy,0.058716650464489956,0.02957499661889088,0.043735080460089254,0.02838869759501966,0.08591266848150966,0.03389814372767649,0.07155284806420338,0.030996934426046223
Current Links,2.933333333333333,1.7798359733284477,1.5666666666666667,1.4781939897267773,9.7,3.292101309875314,6.833333333333333,3.006697504747937
Mean Network Degree,0.3911111111111111,0.2373114631104597,0.20888888888888887,0.19709253196357032,1.2933333333333332,0.4389468413167085,0.9111111111111111,0.40089300063305827
Isolated Robots,10.833333333333334,2.0858031337217993,12.166666666666666,2.3501039350946007,4.6,2.4297012729679484,6.333333333333333,2.248882225544018
Coalition Formation Efficiency (%),2.2603521046402695,0.8144946332665982,2.1441948278574805,0.6799931781719928,4.792191885788862,1.8111237271821596,3.9806110959420997,1.505955090607231
Coalition Success (%),74.56834564071407,10.766406913857882,76.358212693739,9.216164861766458,78.24042563903245,12.171847381611851,76.11887849852246,12.270487870433866
Mean Coalition Delay,79.03152116402116,25.41478843538377,79.88230852480852,20.890007052360108,42.67994306619307,16.24700516031989,50.629697617197614,22.663736081289105
Contract Releases,3.6666666666666665,1.8631329442141513,3.3333333333333335,1.5161960871578068,3.5,2.460025231157403,3.8333333333333335,2.2906606987464575
Unresolved Auction Rounds,653.6666666666666,229.32153805539494,654.9,188.92113844597733,338.8,159.58964619427476,407.1666666666667,163.54079599299678
Total Bids,1654.8,677.8555639052034,1683.7333333333333,686.8882825057348,1226.1333333333334,821.5470995515773,1542.7666666666667,790.3005837298099
Coordination Overhead,103.30841414727571,40.84004786699238,104.85328195568475,41.597815537860505,75.39604383441164,44.10530300766571,88.52672777839445,40.96933459375372
Mission Efficiency,1.0498215019712405,0.3450228602645593,1.0164709582142175,0.3062988244549403,1.481805544403395,0.5414471785413636,1.2491619402194698,0.48653889088596525
Explored Area (%),62.50544662309368,5.628339619106269,63.89337434320134,4.88555755374179,60.91246956298859,6.511025486820499,63.760092272202996,5.265454059506511
