Metric,Homogeneous Mean,Homogeneous SD,Moderate heterogeneity Mean,Moderate heterogeneity SD,High heterogeneity Mean,High heterogeneity SD
Completion Rate (%),86.55555555555556,7.137582434833836,92.22222222222221,6.799444046088445,86.0,8.683449709106094
Completed Tasks,25.966666666666665,2.141274730450151,27.666666666666668,2.0398332138265336,25.8,2.605034912731828
Failed Tasks,4.033333333333333,2.141274730450151,2.3333333333333335,2.0398332138265336,4.2,2.605034912731828
Discovered Completion (%),88.19020251778872,6.516992183581945,95.21699203308398,6.747930481945233,90.285398977353,8.298907133743379
Information Coverage (%),97.39259259259259,3.116543332645957,95.15555555555555,3.343993172288683,92.94814814814815,6.485647994875944
Coalition Success (%),86.27339327339328,11.733617874093252,78.24042563903245,12.171847381611851,73.3575716365964,14.13620463623611
Coalition Formation Efficiency (%),2.482382247065775,0.8429918712744149,4.792191885788862,1.8111237271821596,3.2451203607903603,1.52712848783156
Mean Coalition Delay,33.71377428127428,17.061515510599456,42.67994306619307,16.24700516031989,60.415145225145224,26.97468219639453
Coalition Attempts,457.46666666666664,100.85795177764423,353.46666666666664,160.54320147620666,494.23333333333335,196.54370108650545
Unresolved Auction Rounds,446.53333333333336,100.68446215548965,338.8,159.58964619427476,480.46666666666664,195.5467548524734
Total Bids,2479.5333333333333,614.9036780938404,1226.1333333333334,821.5470995515773,1635.1333333333334,862.4270377268438
Contract Releases,1.6666666666666667,1.881549862495669,3.5,2.460025231157403,4.133333333333334,2.556038601690775
Coordination Overhead,132.1310183637415,33.2019500609737,75.39604383441164,44.10530300766571,101.64508011011884,46.87293345079515
Mission Efficiency,0.7921816055826895,0.20549675986444094,1.481805544403395,0.5414471785413636,1.0917653764386384,0.415077610539372
Reward Gini,0.29992506214844333,0.06904140535765373,0.29571217385095583,0.07079541978191442,0.3560389323636298,0.07382294787805589
Contract Gini,0.23095580473315672,0.0692847247621872,0.25892189499618523,0.07018268150160017,0.3265345264981791,0.07070850711342856
Top 20% Reward Share (%),36.364416634895896,5.260697683194403,36.01243687736197,4.488988684953681,39.4739185899324,5.395224279751911
Ticks,287.8333333333333,23.866125660085437,259.8,38.857298608786664,286.1,26.04419321077157
