Metric,No cooperative demand Mean,No cooperative demand SD,Baseline cooperative demand Mean,Baseline cooperative demand SD,High cooperative demand Mean,High cooperative demand SD
Completion Rate (%),98.88888888888889,1.598211004951278,92.22222222222221,6.799444046088445,75.66666666666667,9.14548231332252
Completed Tasks,29.666666666666668,0.47946330148538413,27.666666666666668,2.0398332138265336,22.7,2.743644693996756
Failed Tasks,0.3333333333333333,0.47946330148538413,2.3333333333333335,2.0398332138265336,7.3,2.743644693996756
Cooperative Tasks,0.0,0.0,12.9,2.49620401465077,24.233333333333334,2.4166567578076683
Completed Cooperative Tasks,0.0,0.0,11.2,2.04095988235421,17.433333333333334,3.114851336833704
Cooperative Completion Rate (%),,,88.01775855723223,12.580088535789743,72.06230079635877,11.400276868044221
Coalition Attempts,0.0,0.0,353.46666666666664,160.54320147620666,671.7666666666667,140.31090682734768
Coalitions Formed,0.0,0.0,14.666666666666666,3.6325476320140075,22.133333333333333,4.240472756120749
Coalition Success (%),0.0,0.0,78.24042563903245,12.171847381611851,79.36797376379823,8.134638826009366
Coalition Formation Efficiency (%),0.0,0.0,4.792191885788862,1.8111237271821596,3.507744640677658,1.2886951816352303
Mean Coalition Delay,0.0,0.0,42.67994306619307,16.24700516031989,54.19130331458051,16.176733627878136
Total Bids,36.63333333333333,2.456284456925405,1226.1333333333334,821.5470995515773,1974.0666666666666,624.6535554752058
Unresolved Auction Rounds,0.0,0.0,338.8,159.58964619427476,649.6333333333333,141.69040639495609
Contract Releases,0.0,0.0,3.5,2.460025231157403,4.766666666666667,2.2996751394765385
Coordination Overhead,14.839463601532568,0.7330833850628478,75.39604383441164,44.10530300766571,140.3960267132068,45.439943318857274
Mission Efficiency,3.313645638852584,0.4259912452890837,1.481805544403395,0.5414471785413636,0.9191841114845276,0.3132070054932963
Reward Gini,0.3816230998943153,0.059177432713384395,0.29571217385095583,0.07079541978191442,0.30695706372537257,0.05917809648324125
Contract Gini,0.3669169859514687,0.062474319985953354,0.25892189499618523,0.07018268150160017,0.2758289151310766,0.06149279759573909
Top 20% Reward Share (%),41.3715319877667,5.028381671103894,36.01243687736197,4.488988684953681,36.75971958300942,4.235097916072779
Information Coverage (%),92.70370370370371,4.3804135960334225,95.15555555555555,3.343993172288683,93.78518518518518,4.463363309600667
Ticks,198.26666666666668,36.12233365254448,259.8,38.857298608786664,284.96666666666664,22.586971119825165
