Metric,Neither mechanism Mean,Neither mechanism SD,Reputation only Mean,Reputation only SD,Adaptation only Mean,Adaptation only SD,Reputation + adaptation Mean,Reputation + adaptation SD
Completion Rate (%),91.0,6.732434217880209,90.88888888888889,7.62800513400413,91.55555555555556,7.309959265959505,92.22222222222221,6.799444046088445
Completed Tasks,27.3,2.0197302653640623,27.266666666666666,2.2884015402012388,27.466666666666665,2.1929877797878516,27.666666666666668,2.0398332138265336
Failed Tasks,2.7,2.0197302653640623,2.7333333333333334,2.2884015402012388,2.533333333333333,2.1929877797878516,2.3333333333333335,2.0398332138265336
Coalition Success (%),77.51196504447279,12.415049384363826,75.26623223162125,12.568725466227153,77.37546739752621,10.786329744668066,78.24042563903245,12.171847381611851
Coalition Formation Efficiency (%),4.52741668357238,1.9974850372716748,4.219042318506094,1.6811381849514055,4.281631002480778,2.18745526433626,4.792191885788862,1.8111237271821596
Mean Coalition Delay,44.43730827995534,19.18400759478726,49.0403317053317,20.39478432148943,47.723081085581086,17.673484521251023,42.67994306619307,16.24700516031989
Contract Releases,3.4,2.2682212383731213,4.0,2.741758811294375,3.433333333333333,2.176414852273206,3.5,2.460025231157403
Total Bids,1406.3333333333333,891.9136858398944,1569.4666666666667,821.367477645258,1490.3,745.0655675844912,1226.1333333333334,821.5470995515773
Unresolved Auction Rounds,358.6,167.5961072710634,374.6,143.91630709643664,378.6,159.92058373908054,338.8,159.58964619427476
Coordination Overhead,83.92194077676261,47.08356447728821,89.57943108082063,39.2738098957266,86.84875029823306,40.284093674835404,75.39604383441164,44.10530300766571
Mission Efficiency,1.3436957607341258,0.5167909153958651,1.2214532772462536,0.448666982174932,1.2545179449793884,0.4266566187652542,1.481805544403395,0.5414471785413636
Mean Reputation,0.5,0.0,0.5030295030060825,0.0030111911730296955,0.5,0.0,0.5036964462315822,0.0028420297887184606
Strategy Switches,0.0,0.0,0.0,0.0,52.63333333333333,12.237543514299258,52.233333333333334,14.866493994152115
Competitive Robots,5.2,1.4715696522350923,5.2,1.4715696522350923,4.766666666666667,1.6120950886075684,4.933333333333334,1.7207322686083053
Cooperative Robots,4.5,1.7955884637172523,4.5,1.7955884637172523,4.5,1.717054414417017,5.0,1.9118505207764291
Balanced Robots,5.3,1.5789564428051401,5.3,1.5789564428051401,5.733333333333333,1.9286109586656033,5.066666666666666,1.436790804568276
Reward Gini,0.2940942670895396,0.05358999726489857,0.2841594887328885,0.0643631016072987,0.2883905753620789,0.061451785470066564,0.29571217385095583,0.07079541978191442
Contract Gini,0.25643283591928534,0.05942486577542775,0.2641086415362844,0.05628030747911338,0.2670592570477407,0.06941930122477123,0.25892189499618523,0.07018268150160017
Top 20% Reward Share (%),36.055432432508034,3.6396229360549777,35.2553471928795,4.384167269490154,35.62131852114395,3.7781936106712166,36.01243687736197,4.488988684953681
Information Coverage (%),94.78518518518518,4.109084447471528,95.45185185185186,4.164245358626193,95.4,3.4845154031401777,95.15555555555555,3.343993172288683
Ticks,273.26666666666665,33.32383772796195,273.1333333333333,36.77774189439279,270.3666666666667,29.476446860845183,259.8,38.857298608786664
